BusID,RouteID,Q,year,RouteDirection,DailyRides(Tuesday),WeekyRides,DailyPassengers,WeeklyPassengers,AVGCommutersPerRide(Weekly),AverageTripDuration,OperatingCostPerPassenger
744,10762,1,2024,2,1,6,19.9,141.2,23.5,20.05,5.11
745,10763,1,2024,1,1,6,1.9,11.9,2,12.06,36.48
746,10763,1,2024,2,1,6,17.8,117.1,19.5,22.45,6.9
747,10765,1,2024,2,1,6,22.6,149.3,24.9,15.82,3.81
748,10768,1,2024,1,19,107,178.4,955.9,8.9,47.96,32.21
749,10768,1,2024,2,18,101,115.7,613.4,6.1,43.55,43.02
750,10771,1,2024,1,1,6,9,49.7,8.3,32.47,23.52
751,10771,1,2024,2,1,6,6.2,36,6,29.26,29.26
752,10772,1,2024,1,1,6,9.6,53.1,8.8,25.91,17.57
753,10773,1,2024,1,1,6,13.2,76.8,12.8,25.58,11.99
754,10773,1,2024,2,1,6,3.8,29.5,4.9,21.13,25.79
755,10774,1,2024,1,1,6,20.5,115.4,19.2,35.26,11
756,10774,1,2024,2,1,6,11.5,72.8,12.1,33.97,16.8
757,10780,1,2024,1,1,6,75,434.9,72.5,37.55,3.11
758,10780,1,2024,2,1,6,35,225.6,37.6,39.88,6.36
759,10781,1,2024,1,2,12,115.1,666.7,55.6,29.05,3.14
760,10781,1,2024,2,2,11,57.9,361.3,32.8,32.75,5.98
761,10783,1,2024,1,1,6,5.8,35.8,6,23.28,23.41
762,10783,1,2024,2,2,12,5.5,30.5,2.5,37.65,88.88
763,10784,1,2024,1,1,6,61.2,326.6,54.4,42.98,4.74
764,10784,1,2024,2,1,6,20.2,123.5,20.6,50.67,14.77
765,10786,1,2024,1,2,12,105.7,609.4,50.8,30.09,3.56
766,10786,1,2024,2,2,11,92.1,554.3,50.4,34.87,4.15
767,10787,1,2024,1,1,6,12.8,73.2,12.2,43.77,21.53
768,10788,1,2024,1,1,6,24.1,134.6,22.4,40.71,10.89
769,10789,1,2024,1,1,6,32,170.3,28.4,33.66,7.12
770,10790,1,2024,1,1,19,30.8,165.6,8.7,304.28,209.47
771,10790,1,2024,2,0,12,15.5,114.4,9.5,272.81,171.7
772,10791,1,2024,1,1,5,37.8,213.3,42.7,62.73,8.82
773,10791,1,2024,2,1,6,40,232.9,38.8,74.25,11.48
