OriginCityName,DestinationCityName,OriginCityName_Latitude,OriginCityName_Longitude,DestinationCityName_Latitude,DestinationCityName_Longitude,WeeklyPassengers,DailyPassengers,BusID,OriginDistrict,DestinationDistrict,Country
קרית גת,בית שמש,31.611147,34.768461,31.74704,34.9881,87.8,0.0,5643,Southern,Unknown,Israel
מודיעין עילית,ירושלים,31.932476,35.042266,31.768318,35.213711,37.3,0.0,5644,Unknown,Jerusalem,Israel
ירושלים,מודיעין עילית,31.768318,35.213711,31.932476,35.042266,32.8,0.0,5645,Jerusalem,Unknown,Israel
מודיעין עילית,ירושלים,31.932476,35.042266,31.768318,35.213711,14.0,0.0,5646,Unknown,Jerusalem,Israel
ירושלים,מודיעין עילית,31.768318,35.213711,31.932476,35.042266,29.8,0.0,5647,Jerusalem,Unknown,Israel
מודיעין עילית,ירושלים,31.932476,35.042266,31.768318,35.213711,22.0,0.0,5648,Unknown,Jerusalem,Israel
ירושלים,מודיעין עילית,31.768318,35.213711,31.932476,35.042266,27.0,0.0,5649,Jerusalem,Unknown,Israel
מודיעין עילית,ירושלים,31.932476,35.042266,31.768318,35.213711,6554.3,1135.6,5650,Unknown,Jerusalem,Israel
ירושלים,מודיעין עילית,31.768318,35.213711,31.932476,35.042266,6473.4,1146.1,5651,Jerusalem,Unknown,Israel
תל נוף,חיפה,31.8394722,34.8218444,32.83036,34.974339,5584.6,937.0,5652,Central,Unknown,Israel
חיפה,תל נוף,32.83036,34.974339,31.8394722,34.8218444,4970.8,842.3,5653,Unknown,Central,Israel
תל נוף,חיפה,31.8394722,34.8218444,32.83036,34.974339,73.5,6.3,5658,Central,Unknown,Israel
חיפה,תל נוף,32.83036,34.974339,31.8394722,34.8218444,62.5,2.3,5659,Unknown,Central,Israel
מודיעין עילית,ירושלים,31.932476,35.042266,31.768318,35.213711,29.8,0.0,5660,Unknown,Jerusalem,Israel
ירושלים,מודיעין עילית,31.768318,35.213711,31.932476,35.042266,47.3,0.0,5661,Jerusalem,Unknown,Israel
תל נוף,חיפה,31.8394722,34.8218444,32.83036,34.974339,2005.3,350.0,5662,Central,Unknown,Israel
חיפה,תל נוף,32.83036,34.974339,31.8394722,34.8218444,1440.7,256.5,5663,Unknown,Central,Israel
מודיעין עילית,ירושלים,31.932476,35.042266,31.768318,35.213711,35.5,0.0,5664,Unknown,Jerusalem,Israel
ירושלים,מודיעין עילית,31.768318,35.213711,31.932476,35.042266,41.0,0.0,5665,Jerusalem,Unknown,Israel
תל אביב-יפו,קרית מלאכי,32.066157,34.777821,31.730201,34.746997,782.0,156.4,5666,Haifa,Unknown,Israel
קרית מלאכי,תל אביב-יפו,31.730201,34.746997,32.066157,34.777821,885.5,177.1,5667,Unknown,Haifa,Israel
מודיעין עילית,ירושלים,31.932476,35.042266,31.768318,35.213711,43.5,0.0,5668,Unknown,Jerusalem,Israel
ירושלים,מודיעין עילית,31.768318,35.213711,31.932476,35.042266,65.5,0.0,5669,Jerusalem,Unknown,Israel
רעננה,תל אביב-יפו,32.18478,34.871328,32.066157,34.777821,7224.1,1360.3,5670,Haifa,Haifa,Israel
תל אביב-יפו,רעננה,32.066157,34.777821,32.18478,34.871328,7368.2,1414.2,5671,Haifa,Haifa,Israel
עפולה,מגדל העמק,32.610492,35.287924,32.6735,35.243446,2934.9,542.0,5672,Northern,Northern,Israel
מגדל העמק,עפולה,32.6735,35.243446,32.610492,35.287924,2861.2,532.1,5673,Northern,Northern,Israel
אשדוד,בני ברק,31.80438,34.655316,32.084931,34.835228,8127.1,1360.4,5674,Unknown,Haifa,Israel
בני ברק,אשדוד,32.084931,34.835228,31.80438,34.655316,7581.9,1274.9,5675,Haifa,Unknown,Israel
אשדוד,תל אביב-יפו,31.80438,34.655316,32.066157,34.777821,1252.3,231.0,5676,Unknown,Haifa,Israel
תל אביב-יפו,אשדוד,32.066157,34.777821,31.80438,34.655316,911.9,164.3,5677,Haifa,Unknown,Israel
אשדוד,דימונה,31.80438,34.655316,31.069418,35.033364,284.9,33.2,5678,Unknown,Southern,Israel
דימונה,אשדוד,31.069418,35.033364,31.80438,34.655316,358.2,40.5,5679,Southern,Unknown,Israel
תל אביב-יפו,באר שבע,32.066157,34.777821,31.252972,34.791464,2273.8,392.2,5680,Haifa,Southern,Israel
באר שבע,תל אביב-יפו,31.252972,34.791464,32.066157,34.777821,1883.4,334.9,5681,Southern,Haifa,Israel
בני ברק,רמלה,32.084931,34.835228,31.931565,34.87294,1415.4,253.0,5682,Haifa,Central,Israel
רמלה,בני ברק,31.931565,34.87294,32.084931,34.835228,1712.4,307.8,5683,Central,Haifa,Israel
אשקלון,בני ברק,31.665944,34.559466,32.084931,34.835228,276.1,43.2,5684,Southern,Haifa,Israel
בני ברק,אשקלון,32.084931,34.835228,31.665944,34.559466,126.1,21.5,5685,Haifa,Southern,Israel
עפולה,תל נוף,32.610492,35.287924,31.8394722,34.8218444,2505.9,451.1,5686,Northern,Central,Israel
תל נוף,עפולה,31.8394722,34.8218444,32.610492,35.287924,2844.2,518.4,5687,Central,Northern,Israel
מודיעין עילית,דימונה,31.932476,35.042266,31.069418,35.033364,53.3,1.2,5688,Unknown,Southern,Israel
דימונה,מודיעין עילית,31.069418,35.033364,31.932476,35.042266,45.3,0.6,5689,Southern,Unknown,Israel
בני ברק,דימונה,32.084931,34.835228,31.069418,35.033364,438.4,60.5,5690,Haifa,Southern,Israel
דימונה,בני ברק,31.069418,35.033364,32.084931,34.835228,420.6,59.3,5691,Southern,Haifa,Israel
נתיבות,דימונה,31.423195,34.595255,31.069418,35.033364,586.4,103.9,5692,Southern,Southern,Israel
דימונה,נתיבות,31.069418,35.033364,31.423195,34.595255,797.8,144.8,5693,Southern,Southern,Israel
חיפה,צפת,32.83036,34.974339,32.964647,35.495999,2846.0,507.9,5694,Unknown,Northern,Israel
צפת,חיפה,32.964647,35.495999,32.83036,34.974339,3230.4,578.9,5695,Northern,Unknown,Israel
אשקלון,באר שבע,31.665944,34.559466,31.252972,34.791464,3646.6,671.6,5696,Southern,Southern,Israel
באר שבע,אשקלון,31.252972,34.791464,31.665944,34.559466,3204.7,587.8,5697,Southern,Southern,Israel
אשקלון,אופקים,31.665944,34.559466,31.311336,34.622825,246.5,49.3,5698,Southern,Southern,Israel
אופקים,אשקלון,31.311336,34.622825,31.665944,34.559466,520.5,104.1,5699,Southern,Southern,Israel
נהריה,צפת,33.011351,35.094671,32.964647,35.495999,2250.8,424.3,5700,Northern,Northern,Israel
צפת,נהריה,32.964647,35.495999,33.011351,35.094671,1995.3,368.1,5701,Northern,Northern,Israel
אשדוד,באר שבע,31.80438,34.655316,31.252972,34.791464,1305.1,242.4,5702,Unknown,Southern,Israel
באר שבע,אשדוד,31.252972,34.791464,31.80438,34.655316,1556.3,290.1,5703,Southern,Unknown,Israel
תל אביב-יפו,באר שבע,32.066157,34.777821,31.252972,34.791464,6752.2,1149.7,5704,Haifa,Southern,Israel
באר שבע,תל אביב-יפו,31.252972,34.791464,32.066157,34.777821,5779.1,964.9,5705,Southern,Haifa,Israel
רחובות,אופקים,31.892772,34.811274,31.311336,34.622825,873.1,150.1,5706,Central,Southern,Israel
אופקים,רחובות,31.311336,34.622825,31.892772,34.811274,1003.9,176.1,5707,Southern,Central,Israel
תל אביב-יפו,קרית גת,32.066157,34.777821,31.611147,34.768461,132.5,26.5,5708,Haifa,Southern,Israel
קרית גת,תל אביב-יפו,31.611147,34.768461,32.066157,34.777821,171.5,34.3,5709,Southern,Haifa,Israel
ראשון לציון,באר שבע,31.961544,34.80705,31.252972,34.791464,502.1,89.3,5710,Central,Southern,Israel
באר שבע,ראשון לציון,31.252972,34.791464,31.961544,34.80705,611.2,102.9,5711,Southern,Central,Israel
